Date,Open,High,Low,Close
01/11/2012,18487.9,19372.7,18255.69,19339.9
01/12/2012,19342.83,19612.18,19149.03,19426.71
01/01/2013,19513.45,20203.66,19508.93,19894.98
01/02/2013,19907.21,19966.69,18793.97,18861.54
01/03/2013,18876.68,19754.66,18568.43,18835.77
01/04/2013,18890.81,19622.68,18144.22,19504.18
01/05/2013,19459.33,20443.62,19451.26,19760.3
01/06/2013,19859.22,19860.19,18467.16,19395.81
01/07/2013,19352.48,20351.06,19126.82,19345.7
01/08/2013,19443.29,19569.2,17448.71,18619.72
01/09/2013,18691.83,20739.69,18166.17,19379.77
01/10/2013,19452.05,21205.44,19264.72,21164.52
01/11/2013,21158.81,21321.53,20137.67,20791.93
01/12/2013,20771.27,21483.74,20568.7,21170.68
01/01/2014,21222.19,21409.66,20343.78,20513.85
01/02/2014,20479.03,21140.51,19963.12,21120.12
01/03/2014,21079.27,22467.21,20920.98,22386.27
01/04/2014,22455.23,22939.31,22197.51,22417.8
01/05/2014,22493.59,25375.63,22277.04,24217.34
01/06/2014,24368.96,25725.12,24270.2,25413.78
01/07/2014,25469.94,26300.17,24892,25894.97
01/08/2014,25753.92,26674.38,25232.82,26638.11
01/09/2014,26733.18,27354.99,26220.49,26630.51
01/10/2014,26681.47,27894.32,25910.77,27865.83
01/11/2014,27943.04,28822.37,27739.56,28693.99
01/12/2014,28748.22,28809.64,26469.42,27499.42
01/01/2015,27485.77,29844.16,26776.12,29182.95
01/02/2015,29143.63,29560.32,28044.49,29361.5
01/03/2015,29533.42,30024.74,27248.45,27957.49
01/04/2015,27954.86,29094.61,26897.54,27011.31
01/05/2015,27204.63,28071.16,26423.99,27828.44
01/06/2015,27770.79,27968.75,26307.07,27780.83
01/07/2015,27823.65,28578.33,27416.39,28114.56
01/08/2015,28089.09,28417.59,25298.42,26283.09
01/09/2015,26127.04,26471.82,24833.54,26154.83
01/10/2015,26344.19,27618.14,26168.71,26656.83
01/11/2015,26641.69,26824.3,25451.42,26145.67
01/12/2015,26201.27,26256.42,24867.73,26117.54
01/01/2016,26101.5,26197.27,23839.76,24870.69
01/02/2016,24982.22,25002.32,22494.61,23002
01/03/2016,23153.32,25479.62,23133.18,25341.86
01/04/2016,25301.7,26100.54,24523.2,25606.62
01/05/2016,25565.44,26837.2,25057.93,26667.96
01/06/2016,26684.46,27105.41,25911.33,26999.72
01/07/2016,27064.33,28240.2,27034.14,28051.86
01/08/2016,28083.08,28532.25,27627.97,28452.17
01/09/2016,28459.09,29077.28,27716.78,27865.96
01/10/2016,27997.29,28477.65,27488.3,27930.21
01/11/2016,27966.18,28029.8,25717.93,26652.81
01/12/2016,26756.66,26803.76,25753.74,26626.46
01/01/2017,26711.15,27980.39,26447.06,27655.96
01/02/2017,27669.08,29065.31,27590.1,28743.32
01/03/2017,28849.04,29824.62,28716.21,29620.5
01/04/2017,29737.73,30184.22,29241.48,29918.4
01/05/2017,30021.49,31255.28,29804.12,31145.8
01/06/2017,31117.09,31522.87,30680.66,30921.61
01/07/2017,31156.04,32672.66,31017.11,32514.94
01/08/2017,32579.8,32686.48,31128.02,31730.49
01/09/2017,31769.34,32524.11,31081.83,31283.72
01/10/2017,31537.81,33340.17,31440.48,33213.13
01/11/2017,33344.23,33865.95,32683.59,33149.35
01/12/2017,33247.66,34137.97,32565.16,34056.83
