Date, Open, High, Low, Close
10/31/22, 19406.52, 19510.88, 19402.06, 19426.14
10/28/22, 19365.10, 19471.29, 19282.70, 19471.19
10/27/22, 19391.14, 19516.36, 19316.63, 19352.11
10/26/22, 19097.54, 19435.91, 19097.54, 19279.76
10/25/22, 18858.99, 19099.47, 18858.99, 19097.01
10/24/22, 18914.95, 18955.94, 18786.05, 18918.40
10/21/22, 18558.08, 18880.76, 18513.54, 18860.95
10/20/22, 18682.05, 18838.79, 18534.33, 18579.29
10/19/22, 18712.27, 18761.64, 18577.02, 18674.40
10/18/22, 18872.07, 18923.92, 18668.75, 18798.18
10/17/22, 18570.17, 18756.68, 18559.55, 18621.02
10/14/22, 18686.86, 18763.70, 18319.88, 18326.35
10/13/22, 17958.77, 18661.43, 17873.18, 18613.63
10/12/22, 18185.10, 18273.64, 18111.57, 18206.28
10/11/22, 18380.35, 18427.33, 18174.38, 18216.68
10/07/22, 18849.10, 18849.29, 18522.55, 18583.13
10/06/22, 19165.97, 19197.78, 18895.40, 18979.01
10/05/22, 19240.25, 19296.73, 19106.48, 19235.09
10/04/22, 19172.79, 19405.12, 19172.79, 19370.99
10/03/22, 18621.76, 18966.90, 18581.30, 18881.19
09/30/22, 18453.91, 18685.04, 18381.07, 18444.22
09/29/22, 18534.03, 18534.03, 18258.42, 18441.84
09/28/22, 18307.88, 18703.89, 18247.90, 18648.92
09/27/22, 18493.89, 18546.76, 18247.74, 18307.91
09/26/22, 18405.29, 18603.47, 18273.00, 18327.04
09/23/22, 18739.73, 18739.73, 18372.64, 18480.98
09/22/22, 19263.26, 19290.32, 18985.00, 19002.68
09/21/22, 19473.69, 19503.46, 19184.54, 19184.54
09/20/22, 19505.42, 19507.83, 19246.77, 19368.69
09/19/22, 19203.26, 19569.14, 19198.11, 19562.38
09/16/22, 19386.16, 19421.61, 19283.19, 19385.88
09/15/22, 19640.72, 19785.14, 19521.29, 19560.16
09/14/22, 19683.64, 19809.13, 19649.31, 19726.14
09/13/22, 19713.13, 19850.63, 19602.53, 19645.40
09/12/22, 19923.17, 20032.60, 19885.88, 19987.23
09/09/22, 19592.41, 19789.58, 19592.41, 19773.34
09/08/22, 19193.23, 19415.52, 19163.61, 19413.00
09/07/22, 19013.73, 19264.46, 18981.97, 19241.44
09/06/22, 19346.35, 19371.48, 19074.60, 19088.15
09/02/22, 19349.41, 19478.27, 19203.82, 19270.85
09/01/22, 19179.49, 19179.49, 18986.19, 19142.72
08/31/22, 19450.62, 19506.39, 19329.88, 19330.81
08/30/22, 19819.82, 19819.82, 19484.77, 19512.90
08/29/22, 19752.80, 19884.23, 19704.96, 19836.12
08/26/22, 20204.71, 20205.62, 19860.58, 19873.29
08/25/22, 20113.11, 20188.98, 20081.00, 20172.34
08/24/22, 19961.83, 20068.93, 19961.53, 20021.38
08/23/22, 19968.48, 20082.91, 19941.12, 19985.35
08/22/22, 19917.00, 19974.92, 19837.79, 19974.92
08/19/22, 20184.88, 20192.79, 20067.24, 20111.38
08/18/22, 20230.61, 20323.57, 20209.46, 20265.37
08/17/22, 20191.67, 20251.98, 20130.83, 20181.44
08/16/22, 20182.23, 20287.19, 20166.52, 20269.97
08/15/22, 20061.43, 20199.17, 20023.14, 20180.60
08/12/22, 20051.40, 20188.64, 20021.34, 20179.81
08/11/22, 20014.23, 20100.55, 19961.09, 19991.88
08/10/22, 19743.64, 19911.02, 19716.29, 19885.94
08/09/22, 19693.59, 19699.83, 19540.21, 19578.30
08/08/22, 19666.86, 19768.01, 19661.75, 19669.17
08/05/22, 19471.25, 19620.13, 19443.34, 19620.13
08/04/22, 19573.12, 19619.14, 19538.08, 19577.04
08/03/22, 19616.12, 19616.12, 19485.03, 19545.94
08/02/22, 19568.87, 19673.47, 19486.68, 19505.33
