<<<<<<< HEAD
DATE,FEDFUNDS,S&P/ASX 200,NASDAQ,TSX,FTSE100
01/10/2012,0.16,4517,2977,12423,5783
01/11/2012,0.16,4506,3010,12239,5867
01/12/2012,0.16,4649,3020,12434,5898
01/01/2013,0.14,4879,3142,12685,6277
01/02/2013,0.15,5104,3160,12822,6361
01/03/2013,0.14,4967,3268,12750,6412
01/04/2013,0.15,5191,3329,12457,6430
01/05/2013,0.11,4927,3456,12650,6583
01/06/2013,0.09,4803,3403,12129,6215
01/07/2013,0.09,5052,3626,12487,6621
01/08/2013,0.08,5135,3590,12654,6413
01/09/2013,0.08,5219,3771,12787,6462
01/10/2013,0.09,5426,3920,13361,6731
01/11/2013,0.08,5320,4060,13395,6651
01/12/2013,0.09,5352,4177,13622,6749
01/01/2014,0.07,5190,4104,13695,6510
01/02/2014,0.07,5405,4308,14210,6810
01/03/2014,0.08,5395,4199,14335,6598
01/04/2014,0.09,5489,4115,14652,6780
01/05/2014,0.09,5493,4243,14604,6845
01/06/2014,0.1,5396,4408,15146,6744
01/07/2014,0.09,5633,4370,15331,6730
01/08/2014,0.09,5626,4580,15626,6820
01/09/2014,0.09,5293,4493,14961,6623
01/10/2014,0.09,5527,4631,14613,6546
01/11/2014,0.09,5313,4792,14745,6723
01/12/2014,0.12,5411,4736,14632,6566
01/01/2015,0.11,5588,4635,14673,6749
01/02/2015,0.11,5929,4964,15234,6947
01/03/2015,0.11,5892,4901,14902,6773
01/04/2015,0.12,5790,4941,15225,6961
01/05/2015,0.12,5777,5070,15014,6984
01/06/2015,0.13,5459,4987,14553,6521
01/07/2015,0.13,5699,5128,14468,6696
01/08/2015,0.14,5207,4777,13859,6248
01/09/2015,0.14,5022,4620,13307,6062
01/10/2015,0.12,5239,5054,13529,6361
01/11/2015,0.12,5167,5109,13470,6356
01/12/2015,0.24,5296,5007,13010,6242
01/01/2016,0.34,5006,4614,12822,6084
01/02/2016,0.38,4881,4558,12860,6097
01/03/2016,0.36,5083,4870,13494,6175
01/04/2016,0.37,5252,4775,13951,6242
01/05/2016,0.37,5379,4948,14066,6231
01/06/2016,0.38,5233,4843,14065,6504
01/07/2016,0.39,5562,5162,14583,6724
01/08/2016,0.4,5433,5213,14598,6782
01/09/2016,0.4,5436,5312,14726,6899
01/10/2016,0.4,5318,5189,14787,6954
01/11/2016,0.41,5441,5324,15083,6784
01/12/2016,0.54,5666,5383,15288,7143
01/01/2017,0.65,5621,5615,15386,7099
01/02/2017,0.66,5712,5825,15399,7263
01/03/2017,0.79,5865,5912,15548,7323
01/04/2017,0.9,5924,6048,15586,7204
01/05/2017,0.91,5725,6199,15350,7520
01/06/2017,1.04,5722,6140,15182,7313
01/07/2017,1.15,5721,6348,15144,7372
01/08/2017,1.16,5715,6429,15212,7431
01/09/2017,1.15,5682,6496,15635,7373
01/10/2017,1.15,5909,6728,16026,7493
01/11/2017,1.16,5970,6874,16067,7327
